Country,Name,FIFAManagerID,League,YearOF,City,LeagueLevel,,,,,,,,,,,
Ukraine,Revera 1908 Ivano-Frankivsk,0x0031392A,Druha Liha A,,,,,,,,,,,,,,
Thailand,Chattrakan City FC,0x00BC319D,Thai League Three Northern Region,,,,,,,,,,,,,,
Thailand,Nakhon Sawan See Khwae City F.C.,0x00BC317B,Thai League Three Northern Region,,,,,,,,,,,,,,
Thailand,Yala City FC,0x00BC319F,Thai League Three Southern Region,,,,,,,,,,,,,,
Thailand,Fleet F.C.,0x00BC31A0,Thai League Three Eastern Region,,,,,,,,,,,,,,
Thailand,Padriew City FC,0x00BC31A1,Thai League Three Eastern Region,,,,,,,,,,,,,,
Vanuatu,Classic FC,0x00CC30A9,VFF Champions League,,,,,,,,,,,,,,
Vanuatu,Tanabululuna FC (NEU),0x00CC30AA,VFF Champions League,,,,,,,,,,,,,,
Vanuatu,Classic Kapalpal FC (NEU),0x00CC30AB,VFF Champions League,,,,,,,,,,,,,,
Kingdom of Eswatini,Sidvwashini United FC,0x008E3016,MTN Premier League,,,,,,,,,,,,,,
Kingdom of Eswatini,Sisonkhe FC,0x008E3017,MTN Premier League,,,,,,,,,,,,,,
Mauritania,ASC Touldé de Kaedi,0x007F3022,Super D1,,,,,,,,,,,,,,
Mauritania,FC Nzidane d'Atar,0x007F3023,Super D1,,,,,,,,,,,,,,
Libya,Al-Borouq,0x007B3033,Libya Premier League 2,,,,,,,,,,,,,,
Libya,Al-Ansar Al-Bayda,0x007B3034,Libya Premier League 2,,,,,,,,,,,,,,
Libya,Al-Watan,0x007B3035,Libya Premier League 2,,,,,,,,,,,,,,
Libya,Al-Dahra Tripoli,0x007B3036,Libya Premier League 2,,,,,,,,,,,,,,
Lesotho,Mzamane FC,0x0079302A,Econet Premier League,,,,,,,,,,,,,,
New Zealand,Te Kotahitanga FC Men's Firsts,0x00C64010,Ultra Football Capital Premier,,,,,,,,,,,,,,
Antigua and Barbuda,Attacking Saints FC,0x003F3015,Antigua Premier League,,,,,,,,,,,,,,
Gabon,Centre Sportif Bendjé,0x00733036,LINAF National Foot 1,,,,,,,,,,,,,,
The British Virgin Islands,Avengers FC,0x00453008,BVIFA National League,,,,,,,,,,,,,,
The Islamic Republic of Iran,Palayesh ​​Naft Bandar-e Abbas,0x00A131F3 ,Azadegan League,,,,,,,,,,,,,,
The Islamic Republic of Iran,Fard Alborz,0x00A131F4,Iranian 2nd Division - Group B,,,,,,,,,,,,,,
The Islamic Republic of Iran,Esteghlal Zeydoon,0x00A131F5,Iranian 2nd Division - Group B,,,,,,,,,,,,,,
The Islamic Republic of Iran,Ferdowsi Samen,0x00A131F6,Iranian 2nd Division - Group B,,,,,,,,,,,,,,
The Islamic Republic of Iran,Ariyan Malayer,0x00A131F7,Iranian 2nd Division - Group B,,,,,,,,,,,,,,
The Islamic Republic of Iran,Omid Tehran,0x00A131F8,Iranian 2nd Division - Group B,,,,,,,,,,,,,,
The Islamic Republic of Iran,Kesht va Sanat Padyab,0x00A131F9,Iranian 2nd Division - Group A,,,,,,,,,,,,,,
Chad,CDF Yves,0x006A300F,Premiere Division,,,,,,,,,,,,,,
Chad,AS Emat,0x006A3010,Premiere Division,,,,,,,,,,,,,,
Chad,Galactik FC,0x006A3011,Premiere Division,,,,,,,,,,,,,,
Chad,CF Stars J. Talents,0x006A3012,Premiere Division,,,,,,,,,,,,,,
Chad,Aiglons FC,0x006A3013,Premiere Division,,,,,,,,,,,,,,
Chad,AS Algoy,0x006A3014,Premiere Division,,,,,,,,,,,,,,
Tonga,Afaa,0x00CB3012,Tonga Major League - Premier Division,,,,,,,,,,,,,,
Tonga,Ha'ateiho,0x00CB3013,Tonga Major League - Premier Division,,,,,,,,,,,,,,
Tonga,Atataa,0x00CB3014,Tonga Major League - Premier Division,,,,,,,,,,,,,,
Afghanistan,Sarsabz Yashlar FC(Faryab),0x0095301D,Afghan Premier League,,,,,,,,,,,,,,
Puerto Rico,MK Elite,0x00583020,Liga Puerto Rico,,,,,,,,,,,,,,
Puerto Rico,Puerto Rico Surf SC,0x00583021 ,Liga Puerto Rico,,,,,,,,,,,,,,
Puerto Rico,Caribe SC,0x00583022,Liga Puerto Rico,,,,,,,,,,,,,,
Chad,AS Psi,0x006A3015,Premiere Division,,,,,,,,,,,,,,
Afghanistan,Adalat Farah FC(Farah),0x0095301C,Afghan Premier League,,,,,,,,,,,,,,
Djibouti,FC Arta,0x006D3017,Championnat National de la Première Division,,,,,,,,,,,,,,
Niger,AS Universite Abdou Moumouni (AS UAM),0x00843032,Superligue,,,,,,,,,,,,,,
Niger,Wombèye AC, 0x00843033,Superligue,,,,,,,,,,,,,,
